92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,14,05,05,05,05,05,05,05,05,05,05,14,05,05,05,99,92,92,92,92,92,92,92,92,92,92,92,92,92,99,05,05,05,05,05,05,05,05,05,05,05,05,14,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,
92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,14,05,05,05,05,05,05,05,05,05,05,14,05,05,05,84,92,92,92,92,92,92,92,92,92,92,92,92,92,84,05,05,05,05,05,05,05,05,05,05,05,05,14,08,08,08,08,08,08,08,08,08,08,09,08,08,08,08,08,
92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,14,05,05,05,05,05,05,05,05,05,05,14,05,05,05,84,92,92,92,92,92,92,92,92,92,92,92,92,92,84,05,05,05,05,05,05,05,05,05,05,05,05,14,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,
92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,14,05,05,05,05,05,05,05,05,05,05,14,05,05,05,99,92,92,92,92,92,92,92,92,92,92,92,92,92,99,05,05,05,05,05,05,05,05,05,05,05,05,14,08,08,08,08,08,09,08,08,08,08,09,08,08,08,08,08,
92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,14,05,05,05,05,05,05,05,05,05,05,14,05,05,05,99,92,92,92,92,92,92,92,92,92,92,92,92,92,99,05,05,05,05,05,05,05,05,05,05,05,05,14,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,
92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,14,05,05,05,05,05,05,05,05,05,05,14,05,05,05,84,92,92,92,92,92,92,92,92,92,92,92,92,92,84,05,05,05,05,05,05,05,05,05,05,05,05,14,08,08,08,08,08,09,08,08,08,08,09,08,08,08,08,08,
92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,14,05,05,05,05,05,05,05,05,05,05,14,05,05,05,84,92,98,99,98,99,98,99,98,99,98,99,98,92,84,05,05,05,05,05,05,05,05,05,05,05,05,14,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,
92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,14,05,05,05,05,05,05,05,05,05,05,14,05,05,05,99,92,98,99,98,99,98,99,98,99,98,99,98,92,99,05,05,05,05,05,05,05,05,05,05,05,05,14,08,08,08,08,08,08,08,09,08,08,08,08,08,08,08,08,
92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,14,05,05,05,05,05,05,05,05,05,05,14,05,05,05,99,92,98,99,98,99,98,99,98,99,98,99,98,92,99,05,05,05,05,05,05,05,05,05,05,05,05,14,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,08,
92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,14,05,05,05,05,05,05,05,05,05,05,14,05,05,05,84,92,98,99,98,99,98,99,98,99,98,99,98,92,84,05,05,05,05,05,05,05,05,05,05,05,05,14,08,08,08,08,08,08,08,08,08,09,08,08,08,08,08,08,
