00,00,00,00,00,00,00,00,00,00,08,08,08,08,08,08,08,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,00,00,00,00,00,00,00,00,00,00,08,08,08,08,08,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,00,00,00,00,00,00,00,00,00,00,00,05,05,05,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,00,00,13,13,13,13,13,13,13,13,13,13,14,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,00,00,00,00,
00,00,00,13,05,05,05,05,05,05,74,05,05,05,05,11,74,00,00,00,00,00,00,00,00,00,00,00,00,13,00,00,00,00,
00,00,00,13,05,05,86,86,86,05,74,05,05,05,05,18,74,00,00,00,00,00,00,00,00,00,00,00,00,13,00,00,00,00,
00,00,00,13,05,86,07,07,07,86,74,05,05,05,05,05,74,00,00,00,00,00,00,00,00,00,00,00,00,13,00,00,00,00,
00,00,00,13,05,86,07,86,07,86,74,05,05,05,05,05,74,00,00,00,00,00,00,00,00,00,00,00,00,13,00,00,00,00,
00,00,00,13,05,86,07,07,07,86,74,05,05,05,05,73,74,00,00,00,00,00,00,00,00,00,00,00,00,13,00,00,00,00,
00,00,00,13,05,05,86,86,86,05,74,05,05,05,05,73,74,00,00,00,00,00,00,00,00,00,00,00,00,13,00,00,00,00,
00,00,00,13,74,74,74,74,05,05,74,74,74,74,05,74,74,00,00,00,00,00,00,00,00,00,00,00,00,13,00,00,00,00,
00,00,00,13,89,97,89,05,05,05,05,05,05,05,05,05,74,00,00,00,00,00,00,00,00,00,00,00,00,13,00,00,00,00,
00,00,00,13,97,89,97,74,05,05,05,05,05,05,05,05,74,00,00,00,00,00,00,00,00,00,00,00,00,13,00,00,00,00,
00,00,00,13,89,97,89,74,05,05,05,05,05,05,05,05,74,00,00,00,00,00,00,00,00,00,00,00,00,13,05,00,00,00,
00,00,00,13,71,71,71,71,71,71,71,71,71,71,05,71,71,71,71,71,71,71,71,71,71,71,71,71,71,13,05,00,00,00,
00,00,00,13,05,05,05,05,05,05,05,05,05,05,05,05,05,05,05,05,05,05,05,05,05,05,05,05,05,13,05,00,00,00,
00,00,00,13,05,05,05,05,05,05,05,05,05,05,05,05,05,05,05,05,05,05,05,05,05,05,05,05,05,05,05,00,00,00,
00,00,00,13,05,05,05,05,05,05,05,05,05,05,05,05,05,05,05,05,05,05,05,05,05,05,05,05,05,13,05,00,00,00,
00,00,00,13,05,05,05,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,13,13,13,13,05,00,00,00,
00,00,00,13,05,05,05,05,05,05,05,05,05,05,05,05,05,05,05,05,05,05,05,05,05,05,05,05,05,13,05,00,00,00,
00,00,00,13,05,05,05,05,05,05,05,05,05,05,05,05,05,05,05,05,05,05,05,05,05,05,05,05,05,13,00,00,00,00,
00,00,00,13,05,05,05,05,05,05,05,05,05,05,05,05,05,05,05,05,05,05,05,05,05,05,05,05,05,13,00,00,00,00,
00,00,00,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,00,00,00,00,
